生产企业,疫苗名称,供应价,省市,申报企业,原产,年份
河南远大生物制药有限公司,人用狂犬病疫苗,260.0,宁夏回族自治区,河南远大生物制药有限公司,国产,2016
中科生物制药股份有限公司,人用狂犬病疫苗,245.0,宁夏回族自治区,中科生物制药股份有限公司,国产,2016
成都康华生物制品有限公司,人用狂犬病疫苗,1290.0,宁夏回族自治区,成都康华生物制品有限公司,国产,2016
CHIRON.BEHRING.VACCINES.PRIVATE.LTD.,人用狂犬病疫苗,792.0,宁夏回族自治区,科园信海（北京）医疗用品贸易有限公司,国产,2016
上海生物制品研究所有限责任公司,麻腮风联合减毒活疫苗,78.0,宁夏回族自治区,上海生物制品研究所有限责任公司,国产,2016
北京北生研生物制品有限公司,麻腮风联合减毒活疫苗,78.0,宁夏回族自治区,北京北生研生物制品有限公司,国产,2016
上海生物制品研究所有限责任公司,麻疹腮腺炎联合减毒活疫苗,68.0,宁夏回族自治区,上海生物制品研究所有限责任公司,国产,2016
北京北生研生物制品有限公司,麻疹风疹联合减毒活疫苗,45.0,宁夏回族自治区,北京北生研生物制品有限公司,国产,2016
北京民海生物科技有限公司,麻疹风疹联合减毒活疫苗,42.0,宁夏回族自治区,北京民海生物科技有限公司,国产,2016
武汉生物制品研究所有限责任公司,肠道病毒71型灭活疫苗,168.0,宁夏回族自治区,武汉生物制品研究所有限责任公司,国产,2016
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,168.0,宁夏回族自治区,中国医学科学院医学生物学研究所,国产,2016
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,188.0,宁夏回族自治区,中国医学科学院医学生物学研究所,国产,2016
兰州生物制品研究所有限责任公司,口服轮状病毒活疫苗,176.0,宁夏回族自治区,兰州生物制品研究所有限责任公司,国产,2016
北京北生研生物制品有限公司,黄热病减毒活疫苗,165.0,宁夏回族自治区,北京北生研生物制品有限公司,国产,2016
科园信海（北京）医疗用品贸易有限公司,13价肺炎球菌多糖疫苗,698.0,安徽省,科园信海（北京）医疗用品贸易有限公司(生产企业：Pfrizer Limited),国产,2018
成都生物制品研究所有限责任公司,23价肺炎球菌多糖疫苗,182.0,安徽省,成都生物制品研究所有限责任公司,国产,2018
重庆智飞生物制品股份有限公司,23价肺炎球菌多糖疫苗,200.0,安徽省,重庆智飞生物制品股份有限公司(生产企业：Merck Sharp ＆ Dohme Corp.),国产,2018
玉溪沃森生物技术有限公司,23价肺炎球菌多糖疫苗,200.0,安徽省,玉溪沃森生物技术有限公司,国产,2018
北京智飞绿竹生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,73.0,安徽省,北京智飞绿竹生物制药有限公司,国产,2018
北京智飞绿竹生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,120.0,安徽省,北京智飞绿竹生物制药有限公司,国产,2018
玉溪沃森生物技术有限公司,A群C群脑膜炎球菌多糖结合疫苗,83.0,安徽省,玉溪沃森生物技术有限公司,国产,2018
罗益（无锡）生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,115.0,安徽省,罗益（无锡）生物制药有限公司,国产,2018
玉溪沃森生物技术有限公司,ACYW135群脑膜炎球菌多糖疫苗,60.0,安徽省,玉溪沃森生物技术有限公司,国产,2018
华兰生物疫苗有限公司,ACYW135群脑膜炎球菌多糖疫苗,57.8,安徽省,华兰生物疫苗有限公司,国产,2018
成都康华生物制品有限公司,ACYW135群脑膜炎球菌多糖疫苗,48.0,安徽省,成都康华生物制品有限公司,国产,2018
北京智飞绿竹生物制药有限公司,ACYW135群脑膜炎球菌多糖疫苗,59.0,安徽省,北京智飞绿竹生物制药有限公司,国产,2018
北京智飞绿竹生物制药有限公司,AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,210.0,安徽省,北京智飞绿竹生物制药有限公司,国产,2018
北京智飞绿竹生物制药有限公司,AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,273.0,安徽省,北京智飞绿竹生物制药有限公司,国产,2018
北京民海生物科技有限公司,b型流感嗜血杆菌结合疫苗,70.0,安徽省,北京民海生物科技有限公司,国产,2018
玉溪沃森生物技术有限公司,b型流感嗜血杆菌结合疫苗,81.0,安徽省,玉溪沃森生物技术有限公司,国产,2018
兰州生物制品研究所有限责任公司,b型流感嗜血杆菌结合疫苗,62.0,安徽省,兰州生物制品研究所有限责任公司,国产,2018
成都欧林生物科技股份有限公司,b型流感嗜血杆菌结合疫苗,73.0,安徽省,成都欧林生物科技股份有限公司,国产,2018
北京智飞绿竹生物制药有限公司,b型流感嗜血杆菌结合疫苗,68.0,安徽省,北京智飞绿竹生物制药有限公司,国产,2018
北京民海生物科技有限公司,b型流感嗜血杆菌结合疫苗,80.0,安徽省,北京民海生物科技有限公司,国产,2018
玉溪沃森生物技术有限公司,b型流感嗜血杆菌结合疫苗,98.0,安徽省,玉溪沃森生物技术有限公司,国产,2018
SANOFI.PASTEUR.S.A,b型流感嗜血杆菌结合疫苗,100.8,安徽省,深圳赛诺菲巴斯德生物制品有限公司,国产,2018
武汉生物制品研究所有限责任公司,肠道病毒71型灭活疫苗,168.0,安徽省,武汉生物制品研究所有限责任公司,国产,2018
北京科兴生物制品有限公司,肠道病毒71型灭活疫苗,167.8,安徽省,北京科兴生物制品有限公司,国产,2018
北京科兴生物制品有限公司,肠道病毒71型灭活疫苗,187.7,安徽省,北京科兴生物制品有限公司,国产,2018
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,168.0,安徽省,中国医学科学院医学生物学研究所,国产,2018
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,188.0,安徽省,中国医学科学院医学生物学研究所,国产,2018
中国医学科学院医学生物学研究所,冻干甲型肝炎减毒活疫苗,60.0,安徽省,中国医学科学院医学生物学研究所,国产,2018
长春长生生物科技有限责任公司,冻干甲型肝炎减毒活疫苗,60.0,安徽省,长春生物制品研究所有限责任公司,国产,2018
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,76.6,安徽省,北京科兴生物制品有限公司,国产,2018
艾美康淮生物制药（江苏）有限公司,甲型肝炎灭活疫苗,80.0,安徽省,艾美康淮生物制药（江苏）有限公司,国产,2018
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,90.0,安徽省,北京科兴生物制品有限公司,国产,2018
艾美康淮生物制药（江苏）有限公司,甲型肝炎灭活疫苗,90.0,安徽省,艾美康淮生物制药（江苏）有限公司,国产,2018
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,105.0,安徽省,北京科兴生物制品有限公司,国产,2018
艾美康淮生物制药（江苏）有限公司,甲型肝炎灭活疫苗,110.0,安徽省,艾美康淮生物制药（江苏）有限公司,国产,2018
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,98.0,安徽省,北京科兴生物制品有限公司,国产,2018
艾美康淮生物制药（江苏）有限公司,甲型肝炎灭活疫苗,100.0,安徽省,艾美康淮生物制药（江苏）有限公司,国产,2018
重庆智飞生物制品股份有限公司,甲型肝炎灭活疫苗,199.0,安徽省,重庆智飞生物制品股份有限公司(生产企业：Merck Sharp ＆ Dohme Corp.),国产,2018
长春卓谊生物股份有限公司,人用狂犬病疫苗,58.0,安徽省,长春卓谊生物股份有限公司,国产,2018
长春长生生物科技有限责任公司,人用狂犬病疫苗,60.0,安徽省,长春长生生物科技有限责任公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,55.0,安徽省,辽宁成大生物股份有限公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,68.0,安徽省,辽宁成大生物股份有限公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,55.0,安徽省,辽宁成大生物股份有限公司,国产,2018
长春长生生物科技有限责任公司,人用狂犬病疫苗,53.0,安徽省,长春长生生物科技有限责任公司,国产,2018
宁波荣安生物药业有限公司,人用狂犬病疫苗,44.0,安徽省,宁波荣安生物药业有限公司,国产,2018
广州诺诚生物制品股份有限公司,人用狂犬病疫苗,53.0,安徽省,广州诺诚生物制品股份有限公司,国产,2018
宁波荣安生物药业有限公司,人用狂犬病疫苗,57.0,安徽省,宁波荣安生物药业有限公司,国产,2018
成都康华生物制品有限公司,人用狂犬病疫苗,255.0,安徽省,成都康华生物制品有限公司,国产,2018
大连雅立峰生物制药有限公司,人用狂犬病疫苗,48.0,安徽省,大连雅立峰生物制药有限公司,国产,2018
吉林迈丰生物药业有限公司,人用狂犬病疫苗,49.0,安徽省,吉林迈丰生物药业有限公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,42.09,安徽省,辽宁成大生物股份有限公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,42.09,安徽省,辽宁成大生物股份有限公司,国产,2018
河南远大生物制药有限公司,人用狂犬病疫苗,52.0,安徽省,河南远大生物制药有限公司,国产,2018
河南远大生物制药有限公司,人用狂犬病疫苗,70.0,安徽省,河南远大生物制药有限公司,国产,2018
中科生物制药股份有限公司,人用狂犬病疫苗,56.0,安徽省,中科生物制药股份有限公司,国产,2018
科园信海（北京）医疗用品贸易有限公司,人用狂犬病疫苗,197.0,安徽省,科园信海（北京）医疗用品贸易有限公司(生产企业：Chiron Behring Vaccines Private Ltd.),国产,2018
兰州生物制品研究所有限责任公司,口服轮状病毒活疫苗,172.0,安徽省,兰州生物制品研究所有限责任公司,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,37.0,安徽省,大连雅立峰生物制药有限公司,国产,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,38.0,安徽省,华兰生物疫苗有限公司,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,42.0,安徽省,大连雅立峰生物制药有限公司,国产,2018
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,45.0,安徽省,长春生物制品研究所有限责任公司,国产,2018
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,47.0,安徽省,上海生物制品研究所有限责任公司,国产,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,42.0,安徽省,华兰生物疫苗有限公司,国产,2018
SANOFI.PASTEUR.S.A,流行性感冒病毒裂解疫苗,45.0,安徽省,深圳赛诺菲巴斯德生物制品有限公司,国产,2018
杭州诚丰生物医药有限公司,流行性感冒病毒裂解疫苗,128.0,安徽省,杭州诚丰生物医药有限公司(生产企业：国光生物科技股份有限公司）,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,20.0,安徽省,大连雅立峰生物制药有限公司,国产,2018
SANOFI.PASTEUR.S.A,流行性感冒病毒裂解疫苗,29.0,安徽省,深圳赛诺菲巴斯德生物制品有限公司,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,24.0,安徽省,大连雅立峰生物制药有限公司,国产,2018
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,27.0,安徽省,长春生物制品研究所有限责任公司,国产,2018
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,27.2,安徽省,上海生物制品研究所有限责任公司,国产,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,23.0,安徽省,华兰生物疫苗有限公司,国产,2018
上海生物制品研究所有限责任公司,麻疹腮腺炎联合减毒活疫苗,58.0,安徽省,上海生物制品研究所有限责任公司,国产,2018
北京北生研生物制品有限公司,麻腮风联合减毒活疫苗,76.0,安徽省,北京北生研生物制品有限公司,国产,2018
科兴（大连）疫苗技术有限公司,腮腺炎减毒活疫苗,44.0,安徽省,科兴（大连）疫苗技术有限公司,国产,2018
艾美卫信生物药业（浙江）有限公司,腮腺炎减毒活疫苗,58.0,安徽省,艾美卫信生物药业（浙江）有限公司,国产,2018
艾美卫信生物药业（浙江）有限公司,腮腺炎减毒活疫苗,39.0,安徽省,艾美卫信生物药业（浙江）有限公司,国产,2018
科园信海（北京）医疗用品贸易有限公司,双价人乳头瘤病毒吸附疫苗,580.0,安徽省,科园信海（北京）医疗用品贸易有限公司（生产企业：GlaxoSmithKline Biologicals S.A.),国产,2018
长春长生生物科技有限责任公司,水痘减毒活疫苗,131.0,安徽省,长春长生生物科技有限责任公司,国产,2018
长春百克生物科技股份公司,水痘减毒活疫苗,136.0,安徽省,长春百克生物科技股份公司,国产,2018
长春祈健生物制品有限公司,水痘减毒活疫苗,136.0,安徽省,长春祈健生物制品有限公司,国产,2018
上海生物制品研究所有限责任公司,水痘减毒活疫苗,136.0,安徽省,上海生物制品研究所有限责任公司,国产,2018
上海荣盛生物药业有限公司,水痘减毒活疫苗,135.5,安徽省,上海荣盛生物药业有限公司,国产,2018
长春长生生物科技有限责任公司,水痘减毒活疫苗,145.4,安徽省,长春长生生物科技有限责任公司,国产,2018
长春百克生物科技股份公司,水痘减毒活疫苗,149.8,安徽省,长春百克生物科技股份公司,国产,2018
上海生物制品研究所有限责任公司,水痘减毒活疫苗,155.0,安徽省,上海生物制品研究所有限责任公司,国产,2018
北京民海生物科技有限公司,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,275.0,安徽省,北京民海生物科技有限公司,国产,2018
SANOFI.PASTEUR.S.A,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,599.0,安徽省,深圳赛诺菲巴斯德生物制品有限公司,国产,2018
国药控股股份有限公司,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,599.0,安徽省,国药控股股份有限公司（生产企业：赛诺菲巴斯德）,国产,2018
辽宁成大生物股份有限公司,乙型脑炎灭活疫苗,69.0,安徽省,辽宁成大生物股份有限公司,国产,2018
辽宁成大生物股份有限公司,乙型脑炎灭活疫苗,70.0,安徽省,辽宁成大生物股份有限公司,国产,2018
厦门万泰沧海生物技术有限公司,重组戊型肝炎疫苗,160.0,安徽省,厦门万泰沧海生物技术有限公司,国产,2018
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,60.0,安徽省,华北制药金坦生物技术股份有限公司,国产,2018
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,70.0,安徽省,华北制药金坦生物技术股份有限公司,国产,2018
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,80.0,安徽省,华北制药金坦生物技术股份有限公司,国产,2018
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,88.0,安徽省,华北制药金坦生物技术股份有限公司,国产,2018
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,85.0,安徽省,华北制药金坦生物技术股份有限公司,国产,2018
艾美汉信疫苗（大连）有限公司,重组乙型肝炎疫苗,46.0,安徽省,艾美汉信疫苗（大连）有限公司,国产,2018
华兰生物疫苗有限公司,重组乙型肝炎疫苗,13.5,安徽省,华兰生物疫苗有限公司,国产,2018
艾美汉信疫苗（大连）有限公司,重组乙型肝炎疫苗,68.4,安徽省,艾美汉信疫苗（大连）有限公司,国产,2018
华兰生物疫苗有限公司,重组乙型肝炎疫苗,41.0,安徽省,华兰生物疫苗有限公司,国产,2018
艾美汉信疫苗（大连）有限公司,重组乙型肝炎疫苗,70.0,安徽省,艾美汉信疫苗（大连）有限公司（西林）,国产,2018
艾美汉信疫苗（大连）有限公司,重组乙型肝炎疫苗,84.0,安徽省,艾美汉信疫苗（大连）有限公司（预充）,国产,2018
浙江天元生物药业有限公司,重组乙型肝炎疫苗,78.0,安徽省,浙江天元生物药业有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,42.0,安徽省,深圳康泰生物制品有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,23.0,安徽省,深圳康泰生物制品有限公司,国产,2018
浙江天元生物药业有限公司,重组乙型肝炎疫苗,88.0,安徽省,浙江天元生物药业有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,65.0,安徽省,深圳康泰生物制品有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,220.0,安徽省,深圳康泰生物制品有限公司,国产,2018
罗益（无锡）生物制药有限公司,双价肾综合征出血热灭活疫苗,44.0,安徽省,罗益（无锡）生物制药有限公司,国产,2018
安徽省瑞源生物医药有限公司,人用狂犬病疫苗,145.0,安徽省,安徽省瑞源生物医药有限公司(生产企业：四川远大蜀阳药业股份有限公司),国产,2018
贵州泰邦生物制品有限公司,人用狂犬病疫苗,162.0,安徽省,贵州泰邦生物制品有限公司,国产,2018
山东泰邦生物制品有限公司,人用狂犬病疫苗,140.0,安徽省,山东泰邦生物制品有限公司,国产,2018
国药集团武汉血液制品有限公司,人用狂犬病疫苗,165.0,安徽省,国药集团武汉血液制品有限公司,国产,2018
广东双林生物制药有限公司,人用狂犬病疫苗,140.0,安徽省,广东双林生物制药有限公司,国产,2018
华兰生物工程股份有限公司,人用狂犬病疫苗,140.0,安徽省,华兰生物工程股份有限公司,国产,2018
安徽省肥西县医药公司,人用狂犬病疫苗,140.0,安徽省,安徽省肥西县医药公司(生产企业：深圳市卫光生物制品股份有限公司),国产,2018
上药控股安徽生物制品有限公司,人用狂犬病疫苗,150.0,安徽省,上药控股安徽生物制品有限公司（生产企业：武汉中原瑞德生物制品有限责任公司）,国产,2018
合肥华浦医药集团有限公司,人用狂犬病疫苗,165.0,安徽省,合肥华浦医药集团有限公司(生产企业：同路生物制药有限公司),国产,2018
华兰生物工程股份有限公司,人用狂犬病疫苗,448.0,安徽省,华兰生物工程股份有限公司,国产,2018
上海联合赛尔生物工程有限公司,重组B亚单位/菌体霍乱疫苗,65.0,安徽省,上海联合赛尔生物工程有限公司,国产,2018
上海联合赛尔生物工程有限公司,重组B亚单位/菌体霍乱疫苗,83.0,安徽省,上海联合赛尔生物工程有限公司,国产,2018
重庆智飞生物制品股份有限公司,四价人乳头瘤病毒疫苗,798.0,安徽省,重庆智飞生物制品股份有限公司(生产企业：Merck Sharp ＆ Dohme Corp.),国产,2018
成都欧林生物科技股份有限公司,吸附破伤风疫苗,158.0,安徽省,成都欧林生物科技股份有限公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,220元/人份,山西省,辽宁成大生物股份有限公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,65元/支,山西省,辽宁成大生物股份有限公司,国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,170元/人份,山西省,辽宁成大生物股份有限公司,国产,2018
辽宁成大生物股份有限公司,乙型脑炎灭活疫苗,70元/支,山西省,辽宁成大生物股份有限公司,国产,2018
广州诺诚生物制品股份有限公司,人用狂犬病疫苗,53元/瓶,山西省,广州诺诚生物制品股份有限公司,国产,2018
长春百克生物科技股份公司,水痘减毒活疫苗,136元/瓶,山西省,长春百克生物科技股份公司,国产,2018
长春百克生物科技股份公司,水痘减毒活疫苗,149.8元/瓶,山西省,长春百克生物科技股份公司,国产,2018
吉林迈丰生物药业有限公司,人用狂犬病疫苗,49元/支,山西省,吉林迈丰生物药业有限公司,国产,2018
大连汉信生物制药有限公司,重组乙型肝炎疫苗,46元/瓶,山西省,大连汉信生物制药有限公司,国产,2018
大连汉信生物制药有限公司,重组乙型肝炎疫苗,68.4元/支,山西省,大连汉信生物制药有限公司,国产,2018
大连汉信生物制药有限公司,重组乙型肝炎疫苗,70元/瓶,山西省,大连汉信生物制药有限公司,国产,2018
大连汉信生物制药有限公司,重组乙型肝炎疫苗,84元/支,山西省,大连汉信生物制药有限公司,国产,2018
科园信海（北京）医疗用品贸易有限公司,双价人乳头瘤病毒吸附疫苗,580元/支,山西省,科园信海（北京）医疗用品贸易有限公司,国产,2018
科园信海（北京）医疗用品贸易有限公司,13价肺炎球菌多糖疫苗,698元/支,山西省,科园信海（北京）医疗用品贸易有限公司,国产,2018
杭州诚丰生物医药有限公司,流行性感冒病毒裂解疫苗,128元/支,山西省,杭州诚丰生物医药有限公司,国产,2018
武汉生物制品研究所有限责任公司,肠道病毒72型灭活疫苗,168元/瓶,山西省,武汉生物制品研究所有限责任公司,国产,2018
中逸安科生物技术股份有限公司,流感病毒亚单位疫苗,168元/支,山西省,中逸安科生物技术有限公司,国产,2018
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,72元/支,山西省,上海葛兰素史克生物制品有限公司,国产,2018
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,80元/支,山西省,上海葛兰素史克生物制品有限公司,国产,2018
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,89元/支,山西省,上海葛兰素史克生物制品有限公司,国产,2018
厦门万泰沧海生物技术有限公司,重组戊型肝炎疫苗,160元/支,山西省,厦门万泰沧海生物技术有限公司,国产,2018
国药控股股份有限公司,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,599元/支,山西省, 国药控股股份有限公司 ,国产,2018
长春祈健生物制品有限公司,水痘减毒活疫苗,136元/支,山西省, 长春祈健生物制品有限公司,国产,2018
浙江卫信生物药业有限公司,腮腺炎减毒活疫苗,44元/支,山西省,浙江卫信生物药业有限公司 ,国产,2018
浙江卫信生物药业有限公司,双价肾综合征出血热灭活疫苗,GMP到期，放弃议价,山西省,浙江卫信生物药业有限公司 ,国产,2018
江苏康淮生物科技有限公司,甲型肝炎灭活疫苗,80元/瓶,山西省,江苏康淮生物科技有限公司,国产,2018
大连雅立峰生物制药有限公司,人用狂犬病疫苗,49元/瓶,山西省,大连雅立峰生物制药有限公司,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,22元/瓶,山西省,大连雅立峰生物制药有限公司,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,27元/瓶,山西省,大连雅立峰生物制药有限公司,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,38元/瓶,山西省,大连雅立峰生物制药有限公司,国产,2018
大连雅立峰生物制药有限公司,流行性感冒病毒裂解疫苗,46元/瓶,山西省,大连雅立峰生物制药有限公司,国产,2018
宁波荣安生物药业有限公司,人用狂犬病疫苗,265元/人份,山西省,宁波荣安生物药业有限公司,国产,2018
宁波荣安生物药业有限公司,人用狂犬病疫苗,57元/瓶,山西省,宁波荣安生物药业有限公司,国产,2018
北京智飞绿竹生物制药有限公司,b型流感嗜血杆菌结合疫苗,79元/瓶,山西省,北京智飞绿竹生物制药有限公司,国产,2018
北京智飞绿竹生物制药有限公司,AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,222元/瓶,山西省,北京智飞绿竹生物制药有限公司,国产,2018
北京智飞绿竹生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,77元/瓶,山西省,北京智飞绿竹生物制药有限公司,国产,2018
北京智飞绿竹生物制药有限公司,ACYW135群脑膜炎球菌多糖疫苗,63元/瓶,山西省,北京智飞绿竹生物制药有限公司,国产,2018
北京民海生物科技有限公司,麻疹风疹联合减毒活疫苗,47元/支,山西省,北京民海生物科技有限公司    ,国产,2018
北京民海生物科技有限公司,b型流感嗜血杆菌结合疫苗,74元/支,山西省,北京民海生物科技有限公司    ,国产,2018
北京民海生物科技有限公司,b型流感嗜血杆菌结合疫苗,83元/支,山西省,北京民海生物科技有限公司    ,国产,2018
北京民海生物科技有限公司,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,280元/支,山西省,北京民海生物科技有限公司    ,国产,2018
玉溪沃森生物技术有限公司,23价肺炎球菌多糖疫苗,200元/支,山西省,玉溪沃森生物技术有限公司,国产,2018
玉溪沃森生物技术有限公司,b型流感嗜血杆菌结合疫苗,82元/瓶,山西省,玉溪沃森生物技术有限公司,国产,2018
玉溪沃森生物技术有限公司,b型流感嗜血杆菌结合疫苗,105元/支,山西省,玉溪沃森生物技术有限公司,国产,2018
玉溪沃森生物技术有限公司,A群C群脑膜炎球菌多糖结合疫苗,89元/瓶,山西省,玉溪沃森生物技术有限公司,国产,2018
玉溪沃森生物技术有限公司,ACYW135群脑膜炎球菌多糖疫苗,65元/瓶,山西省,玉溪沃森生物技术有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,26元/支,山西省,深圳康泰生物制品股份有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,45元/支,山西省,深圳康泰生物制品股份有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,65元/支,山西省,深圳康泰生物制品股份有限公司,国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,228元/支,山西省,深圳康泰生物制品股份有限公司,国产,2018
兰州生物制品研究所有限责任公司,口服轮状病毒活疫苗,172元/瓶,山西省,兰州生物制品研究所有限责任公司,国产,2018
兰州生物制品研究所有限责任公司,b型流感嗜血杆菌结合疫苗,68元/瓶,山西省,兰州生物制品研究所有限责任公司,国产,2018
上海联合赛尔生物工程有限公司,重组B亚单位/菌体霍乱疫苗,65元/粒,山西省,上海联合赛尔生物工程有限公司,国产,2018
上海联合赛尔生物工程有限公司,重组B亚单位/菌体霍乱疫苗,86元/粒,山西省,上海联合赛尔生物工程有限公司,国产,2018
上海荣盛生物药业有限公司,水痘减毒活疫苗,135.5元/瓶,山西省,上海荣盛生物药业有限公司,国产,2018
中科生物制药股份有限公司,人用狂犬病疫苗,47.6元/支,山西省,中科生物制药股份有限公司,国产,2018
华兰生物疫苗有限公司,重组乙型肝炎疫苗,42元/份,山西省,华兰生物疫苗有限公司,国产,2018
华兰生物疫苗有限公司,重组乙型肝炎疫苗,41元/支,山西省,华兰生物疫苗有限公司,国产,2018
华兰生物疫苗有限公司,ACYW135群脑膜炎球菌多糖疫苗,58元/支,山西省,华兰生物疫苗有限公司,国产,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,27元/支,山西省,华兰生物疫苗有限公司,国产,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,39元/瓶,山西省,华兰生物疫苗有限公司,国产,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,46元/支,山西省,华兰生物疫苗有限公司,国产,2018
成都欧林生物科技股份有限公司,吸附破伤风疫苗,158元/支,山西省,成都欧林生物科技股份有限公司,国产,2018
河南远大生物制药有限公司,人用狂犬病疫苗,52元/支,山西省,河南远大生物制药有限公司,国产,2018
成都康华生物制品有限公司,人用狂犬病疫苗,285元/支,山西省,成都康华生物制品有限公司,国产,2018
成都康华生物制品有限公司,ACYW135群脑膜炎球菌多糖疫苗,58元/支,山西省, 成都康华生物制品有限公司,国产,2018
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,31元/支,山西省,长春生物制品研究所有限责任公司,国产,2018
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,44元/瓶,山西省,长春生物制品研究所有限责任公司,国产,2018
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,53元/支,山西省,长春生物制品研究所有限责任公司,国产,2018
上海生物制品研究所有限责任公司,麻腮风联合减毒活疫苗,76元/人分/支,山西省,上海生物制品研究所有限责任公司,国产,2018
上海生物制品研究所有限责任公司,水痘减毒活疫苗,136元/人分/支,山西省,上海生物制品研究所有限责任公司,国产,2018
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,31元/人分/支,山西省,上海生物制品研究所有限责任公司,国产,2018
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,53元/人份/支,山西省,上海生物制品研究所有限责任公司,国产,2018
长春长生生物科技有限责任公司,人用狂犬病疫苗,53元/瓶,山西省,长春长生生物科技有限责任公司,国产,2018
长春长生生物科技有限责任公司,人用狂犬病疫苗,60元/支,山西省,长春长生生物科技有限责任公司,国产,2018
长春长生生物科技有限责任公司,冻干甲型肝炎减毒活疫苗,60元/瓶,山西省,长春长生生物科技有限责任公司,国产,2018
长春长生生物科技有限责任公司,水痘减毒活疫苗,131元/支,山西省,长春长生生物科技有限责任公司,国产,2018
